,pl_name,ra,dec
17764,Kepler-1831 b,295.3024604,49.5890456
17765,Kepler-1917 b,294.1038932,45.0013533
17766,Kepler-1828 b,292.4275963,37.3207616
17767,Kepler-1085 c,287.4776359,46.1411685
17768,Kepler-1730 b,281.9605834,43.7030386
17769,Kepler-1681 b,296.6972773,46.3716969
17770,Kepler-1783 b,297.0210984,41.3771655
17771,Kepler-1906 b,293.8266166,38.8565906
17772,Kepler-1311 c,289.6512597,43.8244445
17773,Kepler-1905 b,292.5733475,46.3668273
17774,Kepler-595 b,294.5703593,50.6730147
17775,Kepler-1774 b,288.5743991,40.9886069
17776,Kepler-1924 b,293.767386,42.8291562
17777,Kepler-1910 b,296.6171677,41.2811677
17778,Kepler-1311 b,289.6512597,43.8244445
17779,Kepler-1691 b,286.2543962,41.0218373
17780,GJ 411 b,165.834471,35.972317
17781,Kepler-1714 b,293.7164655,46.2266878
17782,Kepler-1767 b,293.6441248,46.9896696
17783,Kepler-1800 b,297.6513317,40.3524154
17784,Kepler-1812 b,298.0845087,40.2832525
17785,Kepler-1890 b,292.5778203,40.6679032
17786,Kepler-1920 b,291.0620355,38.8632881
17787,Kepler-1926 b,291.1987905,44.1662033
17788,Kepler-1903 b,290.8882981,51.2481617
17789,Kepler-1749 b,290.2945805,45.5645196
17790,Kepler-1692 b,286.9241804,47.0537092
17791,Kepler-381 b,285.1828685,43.8310283
17792,Kepler-1878 b,300.7324154,44.1070231
17793,Kepler-1883 b,291.922557,42.002522
17794,Kepler-1750 b,292.3514917,48.5110714
17795,Kepler-1913 b,290.216689,44.7795863
17796,Kepler-595 b,294.5703593,50.6730147
17797,Kepler-913 c,297.5830564,41.9523531
17798,Kepler-1728 b,287.0940046,39.0607801
17799,Kepler-595 c,294.5703593,50.6730147
17800,Kepler-1881 b,293.6393065,44.9825447
17801,Kepler-1514 b,292.6274943,37.8601653
17802,Kepler-1856 b,295.9091695,51.3478777
17803,HD 164922 c,270.6304652,26.3104077
17804,Kepler-1733 b,291.1384628,37.8592447
17805,KOI-1831 d,286.4714473,49.6490933
17806,Kepler-281 d,294.1081465,44.7706524
17807,Kepler-1789 b,282.8631419,41.7966332
17808,Kepler-1789 b,282.8631419,41.7966332
17809,Kepler-501 b,297.2014919,41.7301534
17810,Kepler-501 b,297.2014919,41.7301534
17811,Kepler-501 c,297.2014919,41.7301534
17812,Kepler-501 b,297.2014919,41.7301534
17813,Kepler-1701 b,286.6088625,41.8892986
17814,Kepler-1690 b,288.1566649,41.8779417
17815,Kepler-1690 b,288.1566649,41.8779417
17816,Kepler-913 b,297.5830564,41.9523531
17817,Kepler-196 b,284.9685077,42.0791214
17818,Kepler-196 c,284.9685077,42.0791214
17819,Kepler-196 b,284.9685077,42.0791214
17820,Kepler-196 b,284.9685077,42.0791214
17821,Kepler-196 c,284.9685077,42.0791214
17822,Kepler-196 d,284.9685077,42.0791214
17823,Kepler-196 c,284.9685077,42.0791214
17824,Kepler-1686 b,291.6067189,42.0359783
17825,Kepler-1883 b,291.922557,42.002522
17826,Kepler-1902 b,292.7376545,42.0147792
17827,Kepler-1696 b,295.5761011,42.0233639
17828,Kepler-1892 b,299.081007,42.0180957
17829,Kepler-1746 b,288.3203979,42.2613874
17830,Kepler-1746 b,288.3203979,42.2613874
17831,Kepler-1918 b,292.530546,42.2145765
17832,Kepler-1918 b,292.530546,42.2145765
17833,Kepler-1711 b,298.1772916,42.2370289
17834,Kepler-1842 b,286.2516039,42.3784353
17835,Kepler-1842 b,286.2516039,42.3784353
17836,Kepler-1947 b,296.1040313,42.3425818
17837,Kepler-1909 b,290.889409,42.4596251
17838,Kepler-1744 b,291.0206823,42.4624633
17839,Kepler-1744 b,291.0206823,42.4624633
17840,Kepler-1791 b,284.4903166,42.6482636
17841,Kepler-1825 b,292.5140647,42.6517554
17842,Kepler-1825 b,292.5140647,42.6517554
17843,Kepler-1729 b,296.6939428,42.6261145
17844,Kepler-1729 b,296.6939428,42.6261145
17845,Kepler-1266 b,285.8693277,42.7279996
17846,Kepler-1266 b,285.8693277,42.7279996
17847,Kepler-1904 b,288.8744026,51.1542215
